date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:33:54	47981/47981	---M-Z	200	added ('OK')	text/html	etag:%2225427f289fdb1:0%22	https://www.ifiteducation.in/	C:/My%20Web%20Sites/ifit/www.ifiteducation.in/index.html	(from )
11:33:54	103/103	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Feb%202025%2006:03:54%20GMT	https://www.ifiteducation.in/robots.txt		(from )
11:33:54	103/103	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2020%20Feb%202025%2006:03:55%20GMT	https://www.ifiteducation.in/img/favicon.ico	C:/My%20Web%20Sites/ifit/www.ifiteducation.in/img/favicon.0.delayed	(from https://www.ifiteducation.in/)
11:33:54	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/My%20Web%20Sites/ifit/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://www.ifiteducation.in/)
11:33:55	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/My%20Web%20Sites/ifit/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://www.ifiteducation.in/)
11:33:55	16964/16964	---M-Z	200	added ('OK')	text/css	etag:%2289ca608c9fdb1:0%22	https://www.ifiteducation.in/lib/animate/animate.min.css	C:/My%20Web%20Sites/ifit/www.ifiteducation.in/lib/animate/animate.min.css	(from https://www.ifiteducation.in/)
11:33:56	2936/2936	---M-Z	200	added ('OK')	text/css	etag:%2297ac488f9fdb1:0%22	https://www.ifiteducation.in/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/ifit/www.ifiteducation.in/lib/owlcarousel/assets/owl.carousel.min.css	(from https://www.ifiteducation.in/)
11:33:56	164194/164194	---MCZ	200	added ('OK')	text/css	etag:%22a4dbb5b9fdb1:0%22	https://www.ifiteducation.in/css/bootstrap.min.css	C:/My%20Web%20Sites/ifit/www.ifiteducation.in/css/bootstrap.min.css	(from https://www.ifiteducation.in/)
11:33:57	8364/8364	---M-Z	200	added ('OK')	text/css	etag:%22ac4df95b9fdb1:0%22	https://www.ifiteducation.in/css/style.css	C:/My%20Web%20Sites/ifit/www.ifiteducation.in/css/style.css	(from https://www.ifiteducation.in/)
11:33:57	47981/47981	---M-Z	200	added ('OK')	text/html	etag:%220fd21289fdb1:0%22	https://www.ifiteducation.in/index.html	C:/My%20Web%20Sites/ifit/www.ifiteducation.in/index-2.html	(from https://www.ifiteducation.in/)
11:33:58	283761/283761	---M--	200	added ('OK')	image/png	etag:%22d68676899fdb1:0%22	https://www.ifiteducation.in/img/logo.png	C:/My%20Web%20Sites/ifit/www.ifiteducation.in/img/logo.png	(from https://www.ifiteducation.in/)
11:33:58	21325/21325	---M-Z	200	added ('OK')	text/html	etag:%22f99b4279fdb1:0%22	https://www.ifiteducation.in/about.html	C:/My%20Web%20Sites/ifit/www.ifiteducation.in/about.html	(from https://www.ifiteducation.in/)
11:33:59	33698/33698	---M-Z	200	added ('OK')	text/html	etag:%22f91ffc279fdb1:0%22	https://www.ifiteducation.in/courses.html	C:/My%20Web%20Sites/ifit/www.ifiteducation.in/courses.html	(from https://www.ifiteducation.in/)
11:33:59	16157/16157	---M-Z	200	added ('OK')	text/html	etag:%224a722dca58c1d91:0%22	https://www.ifiteducation.in/team.html	C:/My%20Web%20Sites/ifit/www.ifiteducation.in/team.html	(from https://www.ifiteducation.in/)
11:34:00	13921/13921	---M-Z	200	added ('OK')	text/html	etag:%22a0b410299fdb1:0%22	https://www.ifiteducation.in/testimonial.html	C:/My%20Web%20Sites/ifit/www.ifiteducation.in/testimonial.html	(from https://www.ifiteducation.in/)
11:34:00	16305/16305	---M-Z	200	added ('OK')	text/html	etag:%22c2bb37289fdb1:0%22	https://www.ifiteducation.in/gallery.html	C:/My%20Web%20Sites/ifit/www.ifiteducation.in/gallery.html	(from https://www.ifiteducation.in/)
