date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:48:46	170497/170497	---M--	200	added ('OK')	text/html	etag:%22883ac7eba3f08eda2c80cee028cfbac4%22	https://luma.humatheme.com/Demos/App_Layout/index.html	C:/My%20Web%20Sites/stu-dash/luma.humatheme.com/Demos/App_Layout/index.html	(from )
17:48:46	263/263	---MC-	403	error ('Forbidden')	application/xml	date:Wed,%2014%20May%202025%2012:18:49%20GMT	https://luma.humatheme.com/robots.txt		(from )
17:48:46	14782/14782	---M--	200	added ('OK')	text/css	etag:%22315641f20ca718539884495530a364bc%22	https://luma.humatheme.com/public/vendor/spinkit.css	C:/My%20Web%20Sites/stu-dash/luma.humatheme.com/public/vendor/spinkit.css	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
17:48:47	2598/2598	---M--	200	added ('OK')	text/css	etag:%226f36b1309fbbde634a5d54dd1734274a%22	https://luma.humatheme.com/public/vendor/perfect-scrollbar.css	C:/My%20Web%20Sites/stu-dash/luma.humatheme.com/public/vendor/perfect-scrollbar.css	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
17:48:47	66490/66490	---M--	200	added ('OK')	text/css	etag:%22a1ca9d48bb1dd404f60ad2ec0f9d79e9%22	https://luma.humatheme.com/public/css/material-icons.css	C:/My%20Web%20Sites/stu-dash/luma.humatheme.com/public/css/material-icons.css	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
17:48:47	61460/61460	---M--	200	added ('OK')	text/css	etag:%220ef6617d4809c7befc7bafe4720a7b96%22	https://luma.humatheme.com/public/css/fontawesome.css	C:/My%20Web%20Sites/stu-dash/luma.humatheme.com/public/css/fontawesome.css	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
17:48:47	197/197	---M--	200	added ('OK')	text/css	etag:%2287097a06bed907ede48b2659a2828487%22	https://luma.humatheme.com/public/css/preloader.css	C:/My%20Web%20Sites/stu-dash/luma.humatheme.com/public/css/preloader.css	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
17:48:47	705108/705108	---M--	200	added ('OK')	text/css	etag:%2296a201d5c55089d3210d4971d2913302%22	https://luma.humatheme.com/public/css/app.css	C:/My%20Web%20Sites/stu-dash/luma.humatheme.com/public/css/app.css	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
17:48:48	200380/200380	---M--	200	added ('OK')	text/html	etag:%22b839e36ee1d3e8d7031985e3836969b0%22	https://luma.humatheme.com/Demos/App_Layout/courses.html	C:/My%20Web%20Sites/stu-dash/luma.humatheme.com/Demos/App_Layout/courses.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
17:48:48	157602/157602	---M--	200	added ('OK')	text/html	etag:%22a83b50019b9ae4939ab8e747b3788605%22	https://luma.humatheme.com/Demos/App_Layout/student-course.html	C:/My%20Web%20Sites/stu-dash/luma.humatheme.com/Demos/App_Layout/student-course.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
17:48:48	79465/79465	---M--	200	added ('OK')	text/html	etag:%22a630b3fdf979df96c5f10fc09c14d59d%22	https://luma.humatheme.com/Demos/App_Layout/student-lesson.html	C:/My%20Web%20Sites/stu-dash/luma.humatheme.com/Demos/App_Layout/student-lesson.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
17:48:49	161567/161567	---M--	200	added ('OK')	text/html	etag:%22962620f747dbff849127469eca11d680%22	https://luma.humatheme.com/Demos/App_Layout/student-take-course.html	C:/My%20Web%20Sites/stu-dash/luma.humatheme.com/Demos/App_Layout/student-take-course.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
17:48:49	85826/85826	---M--	200	added ('OK')	text/html	etag:%223daffc5a98dfbc5719183af3d23a3937%22	https://luma.humatheme.com/Demos/App_Layout/student-take-lesson.html	C:/My%20Web%20Sites/stu-dash/luma.humatheme.com/Demos/App_Layout/student-take-lesson.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
17:48:50	79700/79700	---M--	200	added ('OK')	text/html	etag:%228ae935fb87a0ca5457bb3c96afe7c842%22	https://luma.humatheme.com/Demos/App_Layout/student-take-quiz.html	C:/My%20Web%20Sites/stu-dash/luma.humatheme.com/Demos/App_Layout/student-take-quiz.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
17:48:50	171674/171674	---M--	200	added ('OK')	text/html	etag:%2293565f8f407d8d52f3681fca80a16bd8%22	https://luma.humatheme.com/Demos/App_Layout/student-dashboard.html	C:/My%20Web%20Sites/stu-dash/luma.humatheme.com/Demos/App_Layout/student-dashboard.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
17:48:50	259602/259602	---M--	200	added ('OK')	text/html	etag:%22d756bd196b4b640d27978f52db93566f%22	https://luma.humatheme.com/Demos/App_Layout/student-my-courses.html	C:/My%20Web%20Sites/stu-dash/luma.humatheme.com/Demos/App_Layout/student-my-courses.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
17:48:50	77375/77375	---M--	200	added ('OK')	text/html	etag:%228afe7044d4f7168647aa04e8d6a5055f%22	https://luma.humatheme.com/Demos/App_Layout/student-quiz-result-details.html	C:/My%20Web%20Sites/stu-dash/luma.humatheme.com/Demos/App_Layout/student-quiz-result-details.html	(from https://luma.humatheme.com/Demos/App_Layout/index.html)
